iteration	mean	std_dev	min	max	median
2670	211.581	50.011	140.387	289.748	196.164
2680	124.602	8.086	110.181	137.418	124.367
2690	176.189	63.264	102.607	274.838	152.763
2700	135.256	4.338	123.432	140.458	136.329
2710	154.712	40.901	97.888	223.798	153.225
2720	80.744	12.916	68.858	115.812	76.530
2730	94.149	10.849	76.490	120.302	95.715
2740	69.465	3.142	65.536	76.297	69.388
2750	73.997	1.657	70.251	75.156	74.713
2760	69.448	2.119	64.236	71.634	69.943
2770	94.123	5.886	87.716	106.421	92.274
2780	61.600	0.913	58.899	62.230	61.823
2790	77.321	19.054	66.038	131.869	69.604
2800	124.325	21.142	81.212	152.134	121.414
2810	79.890	5.091	69.851	88.263	79.144
2820	183.423	41.113	110.732	233.983	195.827
2830	64.810	7.370	60.526	84.639	61.217
2840	123.758	15.094	116.346	168.614	118.102
2850	113.114	15.580	95.279	148.387	110.221
2860	80.018	6.458	68.075	90.347	79.621
2870	84.430	6.679	69.839	95.359	85.022
2880	70.725	2.427	66.003	75.207	71.110
2890	67.665	3.282	61.377	73.904	68.268
2900	114.370	5.304	107.388	124.678	114.064
2910	178.580	12.448	163.849	198.526	175.024
2920	204.835	10.466	179.977	218.063	203.657
2930	178.391	15.047	157.416	204.499	178.990
2940	83.861	8.193	72.187	96.846	84.828
2950	97.438	7.977	84.102	109.620	98.439
2960	75.242	2.586	71.224	78.763	76.299
2970	128.923	21.695	104.068	181.342	120.768
2980	139.294	21.281	112.319	186.225	140.606
2990	97.915	20.532	82.682	156.597	91.272
3000	77.646	2.169	73.998	81.570	78.324
3010	83.794	3.578	80.475	91.486	81.823
3020	77.814	2.415	74.174	80.236	79.400
3030	73.560	0.630	71.844	74.257	73.713
3040	102.787	9.312	91.461	120.233	101.499
3050	96.938	2.796	90.663	101.024	97.290
3060	98.650	4.216	93.295	108.255	98.359
3070	74.350	2.395	70.971	78.462	73.905
3080	63.962	2.283	61.084	65.965	65.689
3090	127.672	24.642	98.986	188.131	122.386
3100	77.676	5.748	72.247	88.982	75.723
3110	114.474	19.607	85.249	142.847	115.602
3120	84.621	17.547	68.038	132.866	79.290
3130	102.319	7.183	93.852	114.624	99.401
3140	108.909	7.599	96.125	123.204	109.394
3150	133.345	21.967	97.680	169.913	132.461
3160	73.843	0.849	72.082	74.770	74.123
3170	84.072	2.066	79.074	86.870	84.280
3180	84.232	4.079	79.059	93.248	83.135
3190	69.303	0.520	68.381	69.995	69.472
3200	72.281	1.842	68.465	73.909	73.009
3210	68.219	1.051	65.762	69.549	68.291
3220	113.405	4.902	104.401	120.820	113.550
3230	102.327	10.580	79.649	115.498	104.241
3240	67.379	2.272	63.949	70.262	67.963
3250	70.780	1.454	69.229	74.976	70.389
3260	176.588	19.780	144.358	199.258	181.039
3270	128.763	15.235	103.067	157.430	132.071
3280	86.937	14.725	71.630	124.768	83.910
3290	182.954	14.336	160.319	205.986	182.961
3300	237.123	42.209	175.164	303.898	220.881
3310	155.650	19.000	125.467	188.782	159.938
3320	65.454	1.490	63.111	67.765	65.749
3330	64.165	1.437	60.269	65.396	64.595
3340	68.263	1.903	64.422	70.493	68.993
3350	64.877	2.055	62.060	70.269	64.736
3360	60.433	3.952	54.850	69.072	60.309
3370	54.219	3.002	49.914	60.136	53.514
3380	55.591	2.591	51.766	58.222	57.424
3390	54.780	2.135	50.597	56.911	55.916
3400	61.284	1.278	57.467	61.876	61.660
3410	67.783	2.434	63.776	69.814	69.234
3420	63.039	0.441	62.126	63.636	63.101
3430	61.853	2.311	57.969	63.499	63.341
3440	66.947	1.907	62.893	68.259	67.811
3450	60.523	1.614	57.264	61.666	61.278
3460	58.252	2.764	55.698	64.695	57.059
3470	61.918	0.637	61.377	63.117	61.566
3480	91.949	5.105	86.124	101.712	90.731
3490	66.826	2.656	63.683	72.250	67.725
3500	71.104	2.165	67.641	72.840	72.412
3510	69.576	0.049	69.473	69.635	69.579
3520	96.576	14.059	76.424	125.895	92.105
3530	85.243	4.552	76.793	93.609	84.731
3540	70.956	2.721	65.571	73.361	72.064
3550	94.908	14.465	74.386	115.885	90.259
3560	86.665	9.490	75.012	99.588	84.646
3570	73.905	2.959	69.566	79.271	73.413
3580	83.103	6.780	71.462	92.296	85.857
3590	54.618	1.891	51.595	56.174	55.602
3600	61.584	1.872	60.295	65.473	60.762
3610	62.970	0.928	60.419	63.459	63.360
3620	54.963	0.160	54.693	55.193	54.969
3630	113.915	34.114	70.356	185.203	103.575
3640	136.067	24.058	76.610	159.546	138.614
3650	108.439	27.204	68.968	154.904	96.752
3660	128.546	26.382	77.879	157.226	140.037
3670	69.242	2.699	64.493	73.215	68.266
3680	67.471	0.171	67.235	67.739	67.467
3690	67.610	1.329	63.641	68.260	68.009
3700	68.141	1.914	67.102	73.842	67.486
3710	72.273	4.362	65.928	80.012	72.617
3720	64.661	2.331	62.247	67.297	64.621
3730	60.718	2.229	58.116	63.178	60.701
3740	64.990	0.159	64.670	65.241	64.982
3750	68.636	0.290	68.075	69.018	68.590
3760	148.466	45.955	87.127	204.547	142.067
3770	144.730	16.133	108.919	168.332	145.740
3780	150.495	6.045	140.951	156.938	152.735
3790	117.143	7.020	108.649	130.069	114.391
3800	121.661	21.208	102.371	162.211	112.016
3810	67.377	1.604	64.699	69.820	67.243
3820	66.793	2.379	63.738	69.273	68.225
3830	65.580	2.263	61.894	67.381	67.040
3840	63.135	1.601	61.077	65.593	62.366
3850	67.921	2.422	64.616	73.420	67.444
3860	73.866	2.732	68.944	79.108	74.322
3870	52.572	0.665	51.611	53.398	52.452
3880	58.836	2.803	56.479	65.457	57.657
3890	54.830	0.826	53.333	55.913	55.214
3900	77.778	3.067	74.299	85.385	77.036
3910	62.141	3.042	59.143	69.531	60.683
3920	67.748	5.554	60.939	82.184	65.794
3930	78.857	2.788	73.582	81.621	80.380
3940	75.113	1.251	74.104	78.646	74.764
3950	75.189	2.773	68.622	77.900	75.799
3960	67.998	1.292	64.811	69.242	68.390
3970	67.375	1.439	65.103	70.813	67.384
3980	64.550	1.882	62.435	67.142	63.832
3990	68.691	1.960	65.801	73.661	68.605
4000	69.059	2.428	66.002	75.118	69.085
4010	64.318	1.525	62.033	66.987	64.342
4020	66.492	1.168	64.701	69.572	66.379
4030	60.162	2.787	57.957	67.666	59.345
4040	67.997	0.515	67.014	69.035	67.952
4050	142.073	22.843	111.974	199.683	136.626
4060	136.238	3.610	131.399	143.527	134.863
4070	172.521	22.630	150.400	224.406	167.006
4080	211.697	18.836	187.416	252.934	204.413
4090	178.215	6.846	168.152	190.399	177.371
4100	65.207	1.822	62.812	67.738	65.728
4110	62.505	1.381	61.682	66.561	62.087
4120	62.199	2.336	59.737	66.265	61.150
4130	70.239	1.802	66.399	71.581	71.019
4140	117.833	3.942	112.280	127.503	118.049
